table,owner_column,select_policy,insert_policy,update_policy,delete_policy,anon_grants,authenticated_grants,backend_only,notes
client_error_event,user_id,Users own client_error_event,Users own client_error_event,Users own client_error_event,Users own client_error_event,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Frontend error telemetry logging
community_price_report,user_id,Users own community_price_report,Users own community_price_report,Users own community_price_report,Users own community_price_report,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Community price submissions
door_to_door_chosen_option,user_id,Users own door_to_door_chosen_option,Users own door_to_door_chosen_option,Users own door_to_door_chosen_option,Users own door_to_door_chosen_option,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Selected door-to-door itinerary option
door_to_door_saved_location,user_id,Users own door_to_door_saved_location,Users own door_to_door_saved_location,Users own door_to_door_saved_location,Users own door_to_door_saved_location,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User saved origin/destination locations
door_to_door_saved_place,user_id,Users own door_to_door_saved_place,Users own door_to_door_saved_place,Users own door_to_door_saved_place,Users own door_to_door_saved_place,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User favorite transit places
door_to_door_search_history,user_id,Users own door_to_door_search_history,Users own door_to_door_search_history,Users own door_to_door_search_history,Users own door_to_door_search_history,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Door-to-door query history
flight_watch,user_id,Users own flight_watch,Users own flight_watch,Users own flight_watch,Users own flight_watch,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Flight watchlist tracker items
hotel_alert_event,user_id,Users own hotel_alert_event,Users own hotel_alert_event,Users own hotel_alert_event,Users own hotel_alert_event,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Hotel price alert notifications
hotel_alert_rule,user_id,Users own hotel_alert_rule,Users own hotel_alert_rule,Users own hotel_alert_rule,Users own hotel_alert_rule,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User hotel price alert rules
hotel_comp_set,user_id,Users own hotel_comp_set,Users own hotel_comp_set,Users own hotel_comp_set,Users own hotel_comp_set,NONE,"SELECT, INSERT, UPDATE, DELETE",false,User competitive hotel comparison sets
hotel_notification_delivery,user_id,Users own hotel_notification_delivery,Users own hotel_notification_delivery,Users own hotel_notification_delivery,Users own hotel_notification_delivery,NONE,"SELECT, INSERT, UPDATE, DELETE",false,Hotel notification delivery audits
